[Event "Reinfeld Arena"]
[Site "https://lichess.org/EXyuWYtK"]
[Date "2018.11.18"]
[White "jishanshaikh4"]
[Black "phantom_rouge1"]
[Result "0-1"]
[UTCDate "2018.11.18"]
[UTCTime "12:03:44"]
[WhiteElo "1213"]
[BlackElo "1712"]
[WhiteRatingDiff "-2"]
[BlackRatingDiff "+2"]
[Variant "Standard"]
[TimeControl "15+0"]
[ECO "A00"]
[Opening "Hungarian Opening"]
[Termination "Time forfeit"]

1. g3 { [%clk 0:00:15] } 1... d5 { [%clk 0:00:15] } 2. Bg2 { [%clk 0:00:15] } 2... Nf6 { [%clk 0:00:15] } 3. Nf3 { [%clk 0:00:14] } 3... Nc6 { [%clk 0:00:15] } 4. e4 { [%clk 0:00:14] } 4... e5 { [%clk 0:00:15] } 5. d3 { [%clk 0:00:13] } 5... dxe4 { [%clk 0:00:14] } 6. dxe4 { [%clk 0:00:12] } 6... Qxd1+ { [%clk 0:00:14] } 7. Kxd1 { [%clk 0:00:11] } 7... Nxe4 { [%clk 0:00:14] } 8. Be3 { [%clk 0:00:11] } 8... Nxf2+ { [%clk 0:00:14] } 9. Bxf2 { [%clk 0:00:09] } 9... Bg4 { [%clk 0:00:14] } 10. Re1 { [%clk 0:00:09] } 10... Bxf3+ { [%clk 0:00:14] } 11. Bxf3 { [%clk 0:00:09] } 11... O-O-O+ { [%clk 0:00:14] } 12. Kc1 { [%clk 0:00:07] } 12... Nb4 { [%clk 0:00:14] } 13. Nc3 { [%clk 0:00:07] } 13... e4 { [%clk 0:00:13] } 14. a3 { [%clk 0:00:05] } 14... exf3 { [%clk 0:00:12] } 15. axb4 { [%clk 0:00:04] } 15... a6 { [%clk 0:00:11] } 16. Re3 { [%clk 0:00:04] } 16... Bxb4 { [%clk 0:00:10] } 17. Rxf3 { [%clk 0:00:03] } 17... Rhe8 { [%clk 0:00:09] } 18. Rxf7 { [%clk 0:00:03] } 18... Rf8 { [%clk 0:00:08] } 19. Rxg7 { [%clk 0:00:02] } 19... Rxf2 { [%clk 0:00:06] } 20. Rxh7 { [%clk 0:00:01] } 20... Rf1+ { [%clk 0:00:06] } 0-1
