[Event "Daily SuperBlitz Arena"]
[Site "https://lichess.org/nh38UK7m"]
[Date "2021.03.26"]
[White "jishanshaikh4"]
[Black "Serhio_88"]
[Result "1-0"]
[UTCDate "2021.03.26"]
[UTCTime "17:07:22"]
[WhiteElo "1780"]
[BlackElo "1705"]
[WhiteRatingDiff "+5"]
[BlackRatingDiff "-4"]
[Variant "Standard"]
[TimeControl "180+0"]
[ECO "A04"]
[Opening "Zukertort Opening: Black Mustang Defense"]
[Termination "Time forfeit"]

1. Nf3 { [%clk 0:01:30] } 1... Nc6 { [%clk 0:03:00] } 2. c3 { [%clk 0:01:30] } 2... e5 { [%clk 0:02:57] } 3. d4 { [%clk 0:01:30] } 3... exd4 { [%clk 0:02:55] } 4. cxd4 { [%clk 0:01:30] } 4... d5 { [%clk 0:02:54] } 5. Bf4 { [%clk 0:01:29] } 5... Nf6 { [%clk 0:02:50] } 6. e3 { [%clk 0:01:29] } 6... g6 { [%clk 0:02:46] } 7. Bd3 { [%clk 0:01:29] } 7... Bg7 { [%clk 0:02:45] } 8. Nbd2 { [%clk 0:01:29] } 8... O-O { [%clk 0:02:43] } 9. O-O { [%clk 0:01:28] } 9... Bg4 { [%clk 0:02:42] } 10. h3 { [%clk 0:01:28] } 10... Be6 { [%clk 0:02:40] } 11. Re1 { [%clk 0:01:25] } 11... Qd7 { [%clk 0:02:39] } 12. Ng5 { [%clk 0:01:21] } 12... Nb4 { [%clk 0:02:26] } 13. Nxe6 { [%clk 0:01:19] } 13... fxe6 { [%clk 0:02:24] } 14. Nf3 { [%clk 0:01:15] } 14... Nc6 { [%clk 0:02:19] } 15. Ne5 { [%clk 0:01:12] } 15... Nxe5 { [%clk 0:02:18] } 16. Bxe5 { [%clk 0:01:12] } 16... Rf7 { [%clk 0:02:13] } 17. Rc1 { [%clk 0:01:10] } 17... c6 { [%clk 0:02:11] } 18. Bh2 { [%clk 0:01:08] } 18... Raf8 { [%clk 0:02:09] } 19. f3 { [%clk 0:01:07] } 19... h5 { [%clk 0:01:58] } 20. e4 { [%clk 0:01:07] } 20... h4 { [%clk 0:01:53] } 21. exd5 { [%clk 0:01:06] } 21... exd5 { [%clk 0:01:51] } 22. Qc2 { [%clk 0:01:05] } 22... Nh5 { [%clk 0:01:21] } 23. Bxg6 { [%clk 0:01:03] } 23... Bxd4+ { [%clk 0:01:07] } 24. Kf1 { [%clk 0:00:58] } 24... Ng3+ { [%clk 0:00:57] } 25. Bxg3 { [%clk 0:00:57] } 25... hxg3 { [%clk 0:00:56] } 26. Bxf7+ { [%clk 0:00:56] } 26... Qxf7 { [%clk 0:00:53] } 27. Qd3 { [%clk 0:00:50] } 27... c5 { [%clk 0:00:50] } 28. Re2 { [%clk 0:00:49] } 28... Qf4 { [%clk 0:00:47] } 29. Rce1 { [%clk 0:00:47] } 29... Kg7 { [%clk 0:00:36] } 30. Re7+ { [%clk 0:00:45] } 30... Rf7 { [%clk 0:00:36] } 31. Rxf7+ { [%clk 0:00:43] } 31... Kxf7 { [%clk 0:00:35] } 32. Qh7+ { [%clk 0:00:42] } 32... Kf6 { [%clk 0:00:30] } 33. Qe7+ { [%clk 0:00:42] } 33... Kg6 { [%clk 0:00:26] } 34. Qe6+ { [%clk 0:00:41] } 34... Qf6 { [%clk 0:00:22] } 35. Qxf6+ { [%clk 0:00:39] } 35... Bxf6 { [%clk 0:00:22] } 36. Ke2 { [%clk 0:00:39] } 36... Bxb2 { [%clk 0:00:21] } 37. Rb1 { [%clk 0:00:38] } 37... Bd4 { [%clk 0:00:14] } 38. Rxb7 { [%clk 0:00:38] } 38... a5 { [%clk 0:00:13] } 39. Ra7 { [%clk 0:00:36] } 39... Bc3 { [%clk 0:00:11] } 40. Rc7 { [%clk 0:00:35] } 40... Bb4 { [%clk 0:00:06] } 41. Kd3 { [%clk 0:00:34] } 41... Kf5 { [%clk 0:00:04] } 42. Ra7 { [%clk 0:00:33] } 42... Ke5 { [%clk 0:00:03] } 43. a3 { [%clk 0:00:33] } 43... Bxa3 { [%clk 0:00:01] } 44. Rxa5 { [%clk 0:00:32] } 44... Bb4 { [%clk 0:00:01] } 45. Ra2 { [%clk 0:00:31] } 1-0
